,territory_code,reassigned_cluster,average_income,total_price,average_income_real,total_price_real,household_code,year,base_income_2020,base_price_2020,base_income_2020_real,base_price_2020_real,base_count_2020,income_pct_change,price_pct_change,count_pct_change
0,10,1,356992.75,152028.0,356992.75,152028.0,2,2020,356992.75,152028.0,356992.75,152028.0,2.0,0.0,0.0,0.0
1,10,1,222817.1458333333,166250.5,206312.17206790124,153935.64814814815,4,2021,356992.75,152028.0,356992.75,152028.0,2.0,-42.21,1.25,100.0
2,10,1,303261.6904761905,206110.73469387754,233278.22344322343,158546.7189952904,49,2022,356992.75,152028.0,356992.75,152028.0,2.0,-34.65,4.29,2350.0
3,10,1,297747.77725366876,232821.1823899371,208215.22884871942,162812.01565729867,159,2023,356992.75,152028.0,356992.75,152028.0,2.0,-41.68,7.09,7850.0
4,10,1,332676.75,230801.35099337748,214630.16129032258,148904.09741508224,151,2024,356992.75,152028.0,356992.75,152028.0,2.0,-39.88,-2.05,7450.0
5,10,2,383062.5,293454.3333333333,354687.5,271716.97530864197,3,2021,,,,,,,,
6,10,2,356222.53571428574,358537.64285714284,274017.33516483515,275798.1868131868,28,2022,,,,,,,,
7,10,2,374569.18827160494,380909.60493827163,261936.49529482867,266370.3531036865,81,2023,,,,,,,,
8,10,2,372377.7291666667,380618.7361111111,240243.69623655913,245560.47491039423,72,2024,,,,,,,,
9,10,3,774581.7222222221,187324.33333333334,717205.2983539095,173448.45679012345,3,2021,,,,,,,,
10,10,3,751515.762345679,214058.03703703705,578089.0479582147,164660.0284900285,27,2022,,,,,,,,
11,10,3,720254.95,257127.11666666667,503674.7902097903,179809.1724941725,60,2023,,,,,,,,
12,10,3,717427.7089201878,261186.0985915493,462856.58640012116,168507.1603816447,71,2024,,,,,,,,
13,11,1,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502,2020,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502.0,0.0,0.0,0.0
14,11,1,288931.72,144733.78222222222,267529.37037037034,134012.76131687243,450,2021,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502.0,-9.58,-3.52,-10.36
15,11,1,299845.73449612403,185131.2558139535,230650.5649970185,142408.65831842573,473,2022,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502.0,-22.05,2.52,-5.78
16,11,1,312413.5423832924,209698.0909090909,218471.00865964504,146642.0216147489,407,2023,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502.0,-26.16,5.57,-18.92
17,11,1,306081.0754231052,217291.54525386312,197471.6615632937,140188.09371216976,453,2024,295876.65670650726,138905.52390438248,295876.65670650726,138905.52390438248,502.0,-33.26,0.92,-9.76
18,11,2,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241,2020,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241.0,0.0,0.0,0.0
19,11,2,358663.9047619048,267340.64285714284,332096.2081128747,247537.63227513226,154,2021,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241.0,-8.89,-3.24,-36.1
20,11,2,362342.052238806,328848.6368159204,278724.6555683123,252960.4898584003,201,2022,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241.0,-23.53,-1.12,-16.6
21,11,2,348167.81238859176,386481.1978609626,243473.99467733694,270266.57193074306,187,2023,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241.0,-33.2,5.65,-22.41
22,11,2,369901.1954022988,395666.0172413793,238645.93251761215,255268.3982202447,232,2024,364488.9502074689,255819.07053941907,364488.9502074689,255819.07053941907,241.0,-34.53,-0.22,-3.73
23,11,3,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184,2020,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184.0,0.0,0.0,0.0
24,11,3,690180.6517295598,159858.1603773585,639056.1590088516,148016.8151642208,212,2021,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184.0,-11.54,-5.26,15.22
25,11,3,746005.0080037665,204432.97175141243,573850.0061567434,157256.1321164711,177,2022,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184.0,-20.57,0.65,-3.8
26,11,3,768806.1398809524,217495.76785714287,537626.6712454213,152094.94255744255,168,2023,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184.0,-25.58,-2.65,-8.7
27,11,3,753223.8495934958,244824.02926829268,485950.8707054812,157950.98662470496,205,2024,722422.6983695652,156240.86956521738,722422.6983695652,156240.86956521738,184.0,-32.73,1.09,11.41
28,15,1,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406,2020,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406.0,0.0,0.0,0.0
29,15,1,279209.14692982455,160397.13157894736,258526.98789798567,148515.8625730994,342,2021,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406.0,-11.71,-1.82,-15.76
30,15,1,277494.91912421805,199962.8418230563,213457.63009555233,153817.57063312022,373,2022,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406.0,-27.1,1.68,-8.13
31,15,1,305193.3322683706,225486.8498402556,213421.91067718226,157683.1117764025,313,2023,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406.0,-27.11,4.24,-22.91
32,15,1,312939.97147651005,241005.24832214764,201896.75579129683,155487.25698203073,298,2024,292809.7543103448,151273.73891625614,292809.7543103448,151273.73891625614,406.0,-31.05,2.79,-26.6
33,15,2,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276,2020,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276.0,0.0,0.0,0.0
34,15,2,353581.68011811026,292310.55511811026,327390.44455380575,270657.9214056576,254,2021,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276.0,-8.0,2.54,-7.97
35,15,2,363045.4678111588,345223.703862661,279265.74447012215,265556.69527896994,233,2022,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276.0,-21.52,0.61,-15.58
36,15,2,368735.0409270217,393952.91715976334,257856.67197693826,275491.55046137294,169,2023,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276.0,-27.54,4.38,-38.77
37,15,2,387192.03125,393060.365,249801.31048387094,253587.33225806453,200,2024,355858.8091787439,263941.384057971,355858.8091787439,263941.384057971,276.0,-29.8,-3.92,-27.54
38,15,3,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126,2020,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126.0,0.0,0.0,0.0
39,15,3,718026.1666666666,172616.19875776398,664839.0432098765,159829.81366459627,161,2021,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126.0,1.69,-2.66,27.78
40,15,3,750336.2052083333,216855.6125,577181.6963141025,166812.0096153846,160,2022,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126.0,-11.72,1.6,26.98
41,15,3,737017.0424944813,254912.8940397351,515396.53321292397,178260.76506275183,151,2023,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126.0,-21.17,8.57,19.84
42,15,3,707333.7967091295,254869.4331210191,456344.38497363194,164431.89233614138,157,2024,653807.3386243386,164192.72222222222,653807.3386243386,164192.72222222222,126.0,-30.2,0.15,24.6
43,19,1,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381,2020,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381.0,0.0,0.0,0.0
44,19,1,278526.79124293785,157312.17966101694,257895.1770767943,145659.42561205273,295,2021,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381.0,-9.4,-4.65,-22.57
45,19,1,289802.67142857146,208578.86285714287,222925.13186813184,160445.2791208791,175,2022,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381.0,-21.69,5.03,-54.07
46,19,1,291413.7542735043,226752.841025641,203785.8421493037,158568.42029765106,195,2023,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381.0,-28.41,3.8,-48.82
47,19,1,298845.7817982456,233225.38815789475,192803.73019241652,150467.9923599321,152,2024,284656.87620297464,152761.83989501314,284656.87620297464,152761.83989501314,381.0,-32.27,-1.5,-60.1
48,19,2,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258,2020,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258.0,0.0,0.0,0.0
49,19,2,395189.44878472225,299750.1875,365916.1562821502,277546.46990740736,192,2021,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258.0,5.45,-0.14,-25.58
50,19,2,374368.43358714046,367852.42131979694,287975.7181439542,282963.4010152284,197,2022,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258.0,-17.01,1.81,-23.64
51,19,2,375132.5887445887,396891.7337662338,262330.48163957254,277546.66696939425,154,2023,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258.0,-24.4,-0.14,-40.31
52,19,2,382605.74669312174,413929.6349206349,246842.41722136884,267051.37736815156,126,2024,347013.18443152454,277936.1550387597,347013.18443152454,277936.1550387597,258.0,-28.87,-3.92,-51.16
53,19,3,763407.4068287037,174445.0,763407.4068287037,174445.0,144,2020,763407.4068287037,174445.0,763407.4068287037,174445.0,144.0,0.0,0.0,0.0
54,19,3,695695.0175736961,172675.80272108843,644162.0533089779,159885.00251952632,147,2021,763407.4068287037,174445.0,763407.4068287037,174445.0,144.0,-15.62,-8.35,2.08
55,19,3,713771.0025252525,226693.48484848486,549054.6173271174,174379.60372960372,99,2022,763407.4068287037,174445.0,763407.4068287037,174445.0,144.0,-28.08,-0.04,-31.25
56,19,3,743926.516509434,261471.27358490566,520228.33322338044,182847.044464969,106,2023,763407.4068287037,174445.0,763407.4068287037,174445.0,144.0,-31.85,4.82,-26.39
57,19,3,740502.1425120773,259587.91304347827,477743.3177497272,167476.07293127629,69,2024,763407.4068287037,174445.0,763407.4068287037,174445.0,144.0,-37.42,-3.99,-52.08
58,23,1,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240,2020,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240.0,0.0,0.0,0.0
59,23,1,297646.243902439,149463.19918699187,275598.3739837398,138391.85109906652,246,2021,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240.0,-10.05,-6.59,2.5
60,23,1,310451.2240537241,186829.5641025641,238808.63388748004,143715.0493096647,273,2022,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240.0,-22.06,-2.99,13.75
61,23,1,315868.6281779661,214471.37711864407,220887.15257200427,149979.98399905182,236,2023,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240.0,-27.91,1.24,-1.67
62,23,1,330152.21494708996,213192.07539682538,213001.42899812254,137543.27444956478,252,2024,306385.2447916667,148149.00416666668,306385.2447916667,148149.00416666668,240.0,-30.48,-7.16,5.0
63,23,2,355584.9375,252823.421875,355584.9375,252823.421875,64,2020,355584.9375,252823.421875,355584.9375,252823.421875,64.0,0.0,0.0,0.0
64,23,2,360315.9035087719,268042.7368421053,333625.8365821962,248187.7192982456,57,2021,355584.9375,252823.421875,355584.9375,252823.421875,64.0,-6.18,-1.83,-10.94
65,23,2,363495.08720930235,326145.0,279611.6055456172,250880.76923076922,43,2022,355584.9375,252823.421875,355584.9375,252823.421875,64.0,-21.37,-0.77,-32.81
66,23,2,354562.3042328043,369759.49206349207,247945.66729566728,258573.07137307138,63,2023,355584.9375,252823.421875,355584.9375,252823.421875,64.0,-30.27,2.27,-1.56
67,23,2,384305.91228070174,379949.2105263158,247939.29824561405,245128.52292020374,57,2024,355584.9375,252823.421875,355584.9375,252823.421875,64.0,-30.27,-3.04,-10.94
68,23,3,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76,2020,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76.0,0.0,0.0,0.0
69,23,3,720958.2556089743,158425.875,667553.94037868,146690.62499999997,104,2021,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76.0,-2.63,0.43,36.84
70,23,3,726881.2159498207,193894.97849462365,559139.3968844775,149149.98345740282,93,2022,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76.0,-18.44,2.11,22.37
71,23,3,692148.9887820513,228717.71153846153,484020.27187556034,159942.45562130178,104,2023,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76.0,-29.4,9.5,36.84
72,23,3,705313.6779513889,241599.66666666666,455041.0825492831,155870.75268817204,96,2024,685579.3936403509,146066.40789473685,685579.3936403509,146066.40789473685,76.0,-33.63,6.71,26.32
73,27,1,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308,2020,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308.0,0.0,0.0,0.0
74,27,1,288893.4431111111,152889.64533333332,267493.9288065844,141564.48641975308,375,2021,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308.0,-11.05,-6.98,21.75
75,27,1,304354.459439528,201628.10914454277,234118.8149534831,155098.54549580213,339,2022,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308.0,-22.15,1.91,10.06
76,27,1,307791.544017094,215006.53846153847,215238.84196999582,150354.22270037656,390,2023,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308.0,-28.43,-1.21,26.62
77,27,1,309414.13947105786,233886.41916167663,199622.02546519862,150894.46397527526,334,2024,300721.83982683986,152195.1461038961,300721.83982683986,152195.1461038961,308.0,-33.62,-0.85,8.44
78,27,2,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123,2020,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,0.0,0.0,0.0
79,27,2,357631.2157960199,260080.32835820896,331140.0146259443,240815.11885019348,134,2021,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-3.11,-2.05,8.94
80,27,2,365134.4837962963,325893.1875,280872.67984330485,250687.06730769228,144,2022,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-17.82,1.96,17.07
81,27,2,369625.16748366016,354901.3823529412,258479.13810046163,248182.78486219663,102,2023,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-24.37,0.95,-17.07
82,27,2,374264.99342105264,377610.40789473685,241461.28607809846,243619.61799660441,152,2024,341765.2262872629,245858.1869918699,341765.2262872629,245858.1869918699,123.0,-29.35,-0.91,23.58
83,27,3,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111,2020,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,0.0,0.0,0.0
84,27,3,696523.6621315193,167500.02040816325,644929.3167884437,155092.61148904005,147,2021,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-7.55,-1.36,32.43
85,27,3,699246.8220551378,220628.0902255639,537882.1708116445,169713.9155581261,133,2022,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-22.9,7.94,19.82
86,27,3,701456.8434004475,238858.69127516777,490529.261119194,167034.0498427747,149,2023,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-29.68,6.24,34.23
87,27,3,728661.1768162393,259972.9871794872,470103.98504273506,167724.50785773367,156,2024,697608.9414414414,157225.88288288287,697608.9414414414,157225.88288288287,111.0,-32.61,6.68,40.54
88,31,1,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278,2020,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,0.0,0.0,0.0
89,31,1,282382.69105691055,153645.0406504065,261465.4546823246,142263.92652815417,369,2021,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-11.77,-2.82,32.73
90,31,1,301466.8725182863,190957.2789968652,231897.5942448356,146890.2146129732,319,2022,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-21.75,0.34,14.75
91,31,1,299460.6410472973,228077.64864864864,209413.03569741073,159494.85919485922,296,2023,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-29.34,8.95,6.47
92,31,1,310330.6871539313,239980.0265780731,200213.34655092345,154825.8235987568,301,2024,296354.1591726619,146394.3273381295,296354.1591726619,146394.3273381295,278.0,-32.44,5.76,8.27
93,31,2,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73,2020,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,0.0,0.0,0.0
94,31,2,340089.1980286738,259850.06451612903,314897.4055821054,240601.91158900835,93,2021,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-10.09,0.15,27.4
95,31,2,361247.56192660553,322642.7889908257,277882.7399435427,248186.76076217362,109,2022,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-20.65,3.31,49.32
96,31,2,371315.9321236559,405706.3870967742,259661.4909955636,283710.7602075344,124,2023,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-25.86,18.09,69.86
97,31,2,377223.99471830984,403012.95774647885,243370.3191731031,260008.35983643797,142,2024,350218.098173516,240245.5890410959,350218.098173516,240245.5890410959,73.0,-30.51,8.23,94.52
98,31,3,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96,2020,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,0.0,0.0,0.0
99,31,3,688189.0545073375,162631.78616352202,637212.0875067939,150584.9871884463,159,2021,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-7.96,-2.05,65.62
100,31,3,751458.9305555555,218607.54761904763,578045.3311965812,168159.652014652,126,2022,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-16.5,9.38,31.25
101,31,3,732329.0022222222,238583.30666666667,512118.18337218335,166841.47319347318,150,2023,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-26.03,8.53,56.25
102,31,3,747647.8269230769,254643.46153846153,482353.43672456575,164286.10421836228,143,2024,692292.0052083334,153734.23958333334,692292.0052083334,153734.23958333334,96.0,-30.33,6.86,48.96
103,33,1,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23,2020,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,0.0,0.0,0.0
104,33,1,290427.07380952383,144544.54285714286,268913.9572310406,133837.53968253967,35,2021,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-9.78,1.4,52.17
105,33,1,265812.37896825396,213655.7619047619,204471.0607448107,164350.58608058607,42,2022,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-31.4,24.52,82.61
106,33,1,297175.6779141104,230820.43558282207,207815.15938049683,161412.89201595949,163,2023,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-30.28,22.3,608.7
107,33,1,298704.74846625765,252938.42944785277,192712.74094597268,163186.08351474372,163,2024,298066.03985507245,131986.21739130435,298066.03985507245,131986.21739130435,23.0,-35.35,23.64,608.7
108,33,2,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24,2020,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,0.0,0.0,0.0
109,33,2,409352.2756410256,294419.57692307694,379029.8848528015,272610.71937321936,26,2021,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,9.49,3.69,8.33
110,33,2,368488.30333333334,342826.5733333333,283452.541025641,263712.7487179487,75,2022,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-18.12,0.3,212.5
111,33,2,365859.71974522294,400158.127388535,255845.95786379225,279830.85831366084,157,2023,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-26.09,6.43,554.17
112,33,2,378475.4453703704,407691.65,244177.70669056152,263026.87096774194,180,2024,346163.11805555556,262921.7916666667,346163.11805555556,262921.7916666667,24.0,-29.46,0.04,650.0
113,33,3,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6,2020,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,0.0,0.0,0.0
114,33,3,675325.2208333333,185240.0,625301.1304012345,171518.5185185185,20,2021,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,3.26,28.24,233.33
115,33,3,740000.0797101449,246570.91304347827,569230.8305462654,189669.93311036789,23,2022,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-6.0,41.81,283.33
116,33,3,752391.5773092369,255640.843373494,526147.9561603055,178769.82054090488,83,2023,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-13.11,33.66,1283.33
117,33,3,760143.120614035,298520.5131578947,490414.91652518394,192593.87945670626,76,2024,605553.9861111111,133749.16666666666,605553.9861111111,133749.16666666666,6.0,-19.01,44.0,1166.67
118,35,1,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497,2020,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,0.0,0.0,0.0
119,35,1,290140.60493827163,155078.93464052287,268648.7082761774,143591.60614863227,459,2021,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-7.38,-4.04,-7.65
120,35,1,281580.1431818182,197457.46818181817,216600.11013986013,151890.36013986013,440,2022,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-25.32,1.51,-11.47
121,35,1,311499.1021126761,220424.54366197184,217831.5399389343,154143.03752585445,355,2023,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-24.9,3.01,-28.57
122,35,1,316652.4934456929,227848.38951310862,204291.93125528572,146998.9609761991,267,2024,290039.9379610999,149633.19919517104,290039.9379610999,149633.19919517104,497.0,-29.56,-1.76,-46.28
123,35,2,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333,2020,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,0.0,0.0,0.0
124,35,2,355096.9476190476,281197.7428571429,328793.47001763666,260368.28042328038,280,2021,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-7.15,-3.5,-15.92
125,35,2,357442.5659259259,337199.32444444444,274955.81994301995,259384.09572649573,225,2022,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-22.35,-3.86,-32.43
126,35,2,365263.74391727493,388272.802919708,255429.1915505419,271519.44260119443,137,2023,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-27.87,0.64,-58.86
127,35,2,375002.5363372093,402375.5930232558,241937.1202175544,259597.1567891973,172,2024,354107.8818818819,269799.987987988,354107.8818818819,269799.987987988,333.0,-31.68,-3.78,-48.35
128,35,3,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178,2020,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,0.0,0.0,0.0
129,35,3,748806.443452381,176422.61607142858,693339.2994929452,163354.2741402116,224,2021,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-0.23,-1.22,25.84
130,35,3,759688.9146919431,214752.75829383885,584376.0882245715,165194.42945679912,211,2022,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-15.91,-0.1,18.54
131,35,3,769096.6022222221,241132.88666666666,537829.7917637917,168624.39627039628,150,2023,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-22.61,1.97,-15.73
132,35,3,742758.7681924882,242804.15492957746,479199.20528547623,156647.84189004995,142,2024,694922.5805243446,165366.60674157302,694922.5805243446,165366.60674157302,178.0,-31.04,-5.27,-20.22
133,39,1,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436,2020,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,0.0,0.0,0.0
134,39,1,279057.2964583333,160202.7675,258386.38560956786,148335.8958333333,400,2021,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-5.5,-6.62,-8.26
135,39,1,284821.06358024693,202853.26666666666,219093.12583095918,156040.97435897437,405,2022,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-19.87,-1.77,-7.11
136,39,1,293381.00742971885,224153.18072289156,205161.5436571461,156750.4760299941,415,2023,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-24.96,-1.33,-4.82
137,39,1,306909.7276084949,241421.80886426594,198006.27587644834,155756.00571888124,361,2024,273415.0775993884,158855.3486238532,273415.0775993884,158855.3486238532,436.0,-27.58,-1.95,-17.2
138,39,2,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205,2020,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,0.0,0.0,0.0
139,39,2,356771.32019704435,265122.881773399,330343.81499726325,245484.14979018425,203,2021,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-2.0,-0.95,-0.98
140,39,2,374240.0569828722,327289.6205533597,287876.96690990165,251761.24657950745,253,2022,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-14.6,1.59,23.41
141,39,2,370000.59106529213,375510.1855670103,258741.67207363088,262594.5353615457,194,2023,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-23.24,5.96,-5.37
142,39,2,391314.86881188117,390399.67656765674,252461.2056850846,251870.75907590758,303,2024,337098.49552845524,247831.40975609756,337098.49552845524,247831.40975609756,205.0,-25.11,1.63,47.8
143,39,3,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164,2020,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,0.0,0.0,0.0
144,39,3,687213.8269927537,173618.86956521738,636309.0990673645,160758.21256038646,184,2021,756379.4395325202,168220.14024390245,756379.4395325202,168220.14024390245,164.0,-15.87,-4.44,12.2
